fold,h,order,seasonal_order,mape_val,aicc,bic,lb_pvalue,RMSE,MAE,MAPE,sMAPE,RegionName
7,6,"(1, 2, 0)","(0, 1, 1, 12)",1.5728571267094273,1988.6904737010009,1996.7238865644326,4.272688517810172e-12,1726.4330855899434,1675.794844175689,0.3483371858650547,0.34898078502375895,"San Francisco, CA"
7,12,"(1, 2, 0)","(0, 1, 1, 12)",1.5728571267094273,1988.6904737010009,1996.7238865644326,4.272688517810172e-12,5499.861279787827,3129.3939368816646,0.5845067598695356,0.5803218767099855,"San Francisco, CA"
8,3,"(1, 2, 2)","(0, 1, 0, 12)",3.4552337759368563,2219.688554841556,2230.777533403218,1.331979947169695e-12,773.8411539444971,703.5917066091012,0.14342487314833438,0.14355030214256115,"San Francisco, CA"
8,6,"(1, 2, 2)","(0, 1, 0, 12)",3.4552337759368563,2219.688554841556,2230.777533403218,1.331979947169695e-12,1155.06274354183,1053.2069547328672,0.20537391587561915,0.20525050060221411,"San Francisco, CA"
8,12,"(1, 2, 2)","(0, 1, 0, 12)",3.4552337759368563,2219.688554841556,2230.777533403218,1.331979947169695e-12,22785.57508000378,14151.371589658054,2.4800229618834075,2.4048292025283966,"San Francisco, CA"
9,3,"(0, 2, 0)","(0, 1, 0, 12)",8.199608603540744,2320.9667491231226,2323.821964838812,3.2477828641757204e-10,704.339713625888,691.7371191840115,0.13271380586406092,0.13262200206901642,"San Francisco, CA"
9,6,"(0, 2, 0)","(0, 1, 0, 12)",8.199608603540744,2320.9667491231226,2323.821964838812,3.2477828641757204e-10,8291.186920522057,5319.709085255677,0.9560644232026039,0.9452899426633719,"San Francisco, CA"
9,12,"(0, 2, 0)","(0, 1, 0, 12)",8.199608603540744,2320.9667491231226,2323.821964838812,3.2477828641757204e-10,42362.11327695444,30661.051074581537,5.238528719998642,4.994641998410876,"San Francisco, CA"
10,3,"(2, 1, 0)","(0, 0, 0, 12)",4.630361868944,2446.3716750008875,2455.17858919958,6.127255401745759e-06,6939.694734886877,5904.709300832396,1.056218583310119,1.0486299964213643,"San Francisco, CA"
10,6,"(2, 1, 0)","(0, 0, 0, 12)",4.630361868944,2446.3716750008875,2455.17858919958,6.127255401745759e-06,16155.215752478964,13579.604714435312,2.3685542105802004,2.3300460997972854,"San Francisco, CA"
10,12,"(2, 1, 0)","(0, 0, 0, 12)",4.630361868944,2446.3716750008875,2455.17858919958,6.127255401745759e-06,32993.63817411844,28447.799207768967,4.764294142519669,4.619398919421832,"San Francisco, CA"
11,3,"(1, 1, 0)","(0, 0, 0, 12)",2.2916332283892125,2534.959678295608,2540.9142379692375,0.0106748675957377,2155.201685220152,1787.423599941617,0.3083746949537756,0.3076886729227478,"San Francisco, CA"
11,6,"(1, 1, 0)","(0, 0, 0, 12)",2.2916332283892125,2534.959678295608,2540.9142379692375,0.0106748675957377,5032.748500348932,4233.766385558178,0.7162593500107602,0.7126861008184056,"San Francisco, CA"
11,12,"(1, 1, 0)","(0, 0, 0, 12)",2.2916332283892125,2534.959678295608,2540.9142379692375,0.0106748675957377,9043.127706856032,7645.017357551881,1.2461917870905137,1.2356449933382256,"San Francisco, CA"
12,3,"(1, 1, 0)","(0, 0, 0, 12)",1.7187360788033113,2582.8139234609275,2588.8093972932056,0.009450552234425544,339.98408759993043,240.608427806835,0.040259959827138515,0.04027580228308667,"San Francisco, CA"
12,6,"(1, 1, 0)","(0, 0, 0, 12)",1.7187360788033113,2582.8139234609275,2588.8093972932056,0.009450552234425544,3423.2461548308347,2413.560223424089,0.3927381874524848,0.3942856646536694,"San Francisco, CA"
12,12,"(1, 1, 0)","(0, 0, 0, 12)",1.7187360788033113,2582.8139234609275,2588.8093972932056,0.009450552234425544,3783.679772427188,3034.8563139096273,0.4829048749578078,0.4847120435971473,"San Francisco, CA"
13,3,"(0, 2, 0)","(0, 0, 0, 12)",1.2799147030599505,2612.853622843863,2615.8780011441063,0.0002468594514981853,2891.0702365110096,2726.473050833602,0.4429589050411063,0.44406081859824886,"San Francisco, CA"
13,6,"(0, 2, 0)","(0, 0, 0, 12)",1.2799147030599505,2612.853622843863,2615.8780011441063,0.0002468594514981853,2787.155060916963,2567.508457012824,0.41321147695188626,0.4133522599483405,"San Francisco, CA"
13,12,"(0, 2, 0)","(0, 0, 0, 12)",1.2799147030599505,2612.853622843863,2615.8780011441063,0.0002468594514981853,3275.3923357502913,2892.2232727867085,0.45125079456094186,0.45151675555394316,"San Francisco, CA"
14,3,"(1, 1, 2)","(1, 0, 1, 12)",2.419367145699714,2413.847086085259,2431.206790331638,0.000397740874277096,1368.4546491050721,999.5000426038168,0.15890161050864798,0.15911057118475333,"San Francisco, CA"
14,6,"(1, 1, 2)","(1, 0, 1, 12)",2.419367145699714,2413.847086085259,2431.206790331638,0.000397740874277096,8938.22821459318,6374.42807607052,0.9900286924433023,0.999678812272141,"San Francisco, CA"
14,12,"(1, 1, 2)","(1, 0, 1, 12)",2.419367145699714,2413.847086085259,2431.206790331638,0.000397740874277096,33220.0037454967,25237.00437556561,3.7197517909425404,3.841496023677154,"San Francisco, CA"
15,3,"(2, 2, 1)","(1, 0, 0, 12)",0.8716787980873766,2488.749961847207,2503.392334886368,5.295840863311581e-11,1955.2114073291814,1699.7854769583791,0.2630301013191244,0.26348644827937573,"San Francisco, CA"
15,6,"(2, 2, 1)","(1, 0, 0, 12)",0.8716787980873766,2488.749961847207,2503.392334886368,5.295840863311581e-11,6158.200098890563,4923.476721088014,0.7403394568346184,0.7445969877290098,"San Francisco, CA"
15,12,"(2, 2, 1)","(1, 0, 0, 12)",0.8716787980873766,2488.749961847207,2503.392334886368,5.295840863311581e-11,13649.096154502462,11501.522269550382,1.6519841691279777,1.6710796404189618,"San Francisco, CA"
16,3,"(0, 2, 0)","(1, 0, 1, 12)",0.24574731576254963,2572.926056672066,2581.8710289728288,0.00012375684913131698,3559.4659063075674,3208.1738581385384,0.47850245950841463,0.47990744686979786,"San Francisco, CA"
16,6,"(0, 2, 0)","(1, 0, 1, 12)",0.24574731576254963,2572.926056672066,2581.8710289728288,0.00012375684913131698,6212.736234729245,5576.920646546428,0.8124067830844052,0.8164780867683105,"San Francisco, CA"
16,12,"(0, 2, 0)","(1, 0, 1, 12)",0.24574731576254963,2572.926056672066,2581.8710289728288,0.00012375684913131698,9081.763189836678,8338.007835834966,1.167769490040497,1.175769620302801,"San Francisco, CA"
17,3,"(2, 2, 2)","(1, 0, 1, 12)",0.3854528591785323,2512.033589525963,2532.6051411784415,3.7100309161146154e-05,508.86260802061605,434.2666813854594,0.06243580279843411,0.06246228987369427,"San Francisco, CA"
17,6,"(2, 2, 2)","(1, 0, 1, 12)",0.3854528591785323,2512.033589525963,2532.6051411784415,3.7100309161146154e-05,2045.2516176799973,1520.5491403296473,0.21294735889630656,0.21256901645385565,"San Francisco, CA"
17,12,"(2, 2, 2)","(1, 0, 1, 12)",0.3854528591785323,2512.033589525963,2532.6051411784415,3.7100309161146154e-05,2380.790240602523,1968.4447214733034,0.2685175809523537,0.26800536770178157,"San Francisco, CA"
18,3,"(2, 2, 1)","(1, 0, 1, 12)",0.7350915488922877,2631.8504927981317,2649.7230689843173,8.032005943029901e-12,1693.8492105197054,1615.715801355429,0.22556732499008936,0.22528883238121628,"San Francisco, CA"
18,6,"(2, 2, 1)","(1, 0, 1, 12)",0.7350915488922877,2631.8504927981317,2649.7230689843173,8.032005943029901e-12,1261.2541825407147,1062.8224248410163,0.14739683658048047,0.14724311456702144,"San Francisco, CA"
18,12,"(2, 2, 1)","(1, 0, 1, 12)",0.7350915488922877,2631.8504927981317,2649.7230689843173,8.032005943029901e-12,4628.023025616623,2826.0183589596804,0.36983445991995206,0.3683654479616578,"San Francisco, CA"
19,3,"(0, 2, 2)","(0, 0, 1, 12)",0.1771521130514958,2645.3190690623555,2657.387206183756,2.0209860728199163e-08,2995.458599563304,2555.652558726763,0.3440664422237631,0.34325974875939474,"San Francisco, CA"
19,6,"(0, 2, 2)","(0, 0, 1, 12)",0.1771521130514958,2645.3190690623555,2657.387206183756,2.0209860728199163e-08,4962.190092206913,4414.477784291608,0.5819751739666509,0.579863632680375,"San Francisco, CA"
19,12,"(0, 2, 2)","(0, 0, 1, 12)",0.1771521130514958,2645.3190690623555,2657.387206183756,2.0209860728199163e-08,30399.630247955072,21448.602574626955,2.775007324962508,2.700357239085463,"San Francisco, CA"
20,3,"(0, 2, 2)","(1, 0, 0, 12)",0.3165475062449855,2742.3987606367814,2754.6181403616365,1.3266146217981604e-08,2655.7891817307363,2504.071560383076,0.3266935599221664,0.32729295084709825,"San Francisco, CA"
